variant,params_1,params_2,parval_1,parval_2,parval_2_new,lag_median,lag_mean
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,0.1%,0.1%,0.001,31,30.4141
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,0.1%,1%,0.01,24,24.1465
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,0.1%,10%,0.1,18,18.6777
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,0.1%,50%,0.5,18,18.6426
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,0.1%,100%,1,18,18.6426
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,0.1%,150%,1.5,18,18.6426
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,0.1%,200%,2,18,18.6426
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,1%,0.1%,0.001,31,30.4336
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,1%,1%,0.01,24.5,24.1699
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,1%,10%,0.1,18,18.7344
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,1%,50%,0.5,18,18.6973
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,1%,100%,1,18,18.6973
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,1%,150%,1.5,18,18.6973
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,1%,200%,2,18,18.6973
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,10%,0.1%,0.001,29,28.6621
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,10%,1%,0.01,25,23.7852
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,10%,10%,0.1,19,19.1309
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,10%,50%,0.5,19,19.1035
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,10%,100%,1,19,19.1035
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,10%,150%,1.5,19,19.1035
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,10%,200%,2,19,19.1035
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,30%,0.1%,0.001,23,22.8965
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,30%,1%,0.01,18,17.9258
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,30%,10%,0.1,15,16.1543
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,30%,50%,0.5,15,16.125
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,30%,100%,1,15,16.125
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,30%,150%,1.5,15,16.125
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,30%,200%,2,15,16.125
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,50%,0.1%,0.001,19,20.3535
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,50%,1%,0.01,14,13.7422
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,50%,10%,0.1,13,12.7344
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,50%,50%,0.5,13,12.7305
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,50%,100%,1,13,12.7305
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,50%,150%,1.5,13,12.7305
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,50%,200%,2,13,12.7305
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,70%,0.1%,0.001,17,17.8984
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,70%,1%,0.01,10,10.7695
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,70%,10%,0.1,9,10.3242
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,70%,50%,0.5,9,10.3164
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,70%,100%,1,9,10.3164
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,70%,150%,1.5,9,10.3164
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,70%,200%,2,9,10.3164
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,90%,0.1%,0.001,15,17.1621
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,90%,1%,0.01,9,10.0449
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,90%,10%,0.1,9,9.8027
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,90%,50%,0.5,9,9.8027
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,90%,100%,1,9,9.8027
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,90%,150%,1.5,9,9.8027
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,90%,200%,2,9,9.8027
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,100%,0.1%,0.001,15,16.9336
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,100%,1%,0.01,9,9.9355
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,100%,10%,0.1,9,9.7031
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,100%,50%,0.5,9,9.6934
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,100%,100%,1,9,9.6934
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,100%,150%,1.5,9,9.6934
Omicron BA.2,Traveler weight (all regions),Changing diagnostics,100%,200%,2,9,9.6934
