variant,params_1,params_2,parval_1,parval_2,parval_2_new,lag_median,lag_mean
Omicron BA.2,Changing diagnostics,Changing sequencing,0.1%,0.1%,0.001,64,71.6667
Omicron BA.2,Changing diagnostics,Changing sequencing,0.1%,1%,0.01,49,50.5254
Omicron BA.2,Changing diagnostics,Changing sequencing,0.1%,10%,0.1,31,32.5371
Omicron BA.2,Changing diagnostics,Changing sequencing,0.1%,50%,0.5,31,30.5293
Omicron BA.2,Changing diagnostics,Changing sequencing,0.1%,100%,1,31,30.4141
Omicron BA.2,Changing diagnostics,Changing sequencing,0.1%,150%,1.5,31,30.3477
Omicron BA.2,Changing diagnostics,Changing sequencing,0.1%,200%,2,31,30.2656
Omicron BA.2,Changing diagnostics,Changing sequencing,1%,0.1%,0.001,64,71.6667
Omicron BA.2,Changing diagnostics,Changing sequencing,1%,1%,0.01,49,50.4902
Omicron BA.2,Changing diagnostics,Changing sequencing,1%,10%,0.1,30,30.5879
Omicron BA.2,Changing diagnostics,Changing sequencing,1%,50%,0.5,24,24.2754
Omicron BA.2,Changing diagnostics,Changing sequencing,1%,100%,1,24,24.1465
Omicron BA.2,Changing diagnostics,Changing sequencing,1%,150%,1.5,24,24.1387
Omicron BA.2,Changing diagnostics,Changing sequencing,1%,200%,2,24,24.1328
Omicron BA.2,Changing diagnostics,Changing sequencing,10%,0.1%,0.001,64,71.6667
Omicron BA.2,Changing diagnostics,Changing sequencing,10%,1%,0.01,49,50.4902
Omicron BA.2,Changing diagnostics,Changing sequencing,10%,10%,0.1,30,30.5391
Omicron BA.2,Changing diagnostics,Changing sequencing,10%,50%,0.5,21,21.7969
Omicron BA.2,Changing diagnostics,Changing sequencing,10%,100%,1,18,18.6836
Omicron BA.2,Changing diagnostics,Changing sequencing,10%,150%,1.5,18,17.2324
Omicron BA.2,Changing diagnostics,Changing sequencing,10%,200%,2,18,17.0176
Omicron BA.2,Changing diagnostics,Changing sequencing,50%,0.1%,0.001,64,71.6667
Omicron BA.2,Changing diagnostics,Changing sequencing,50%,1%,0.01,49,50.4902
Omicron BA.2,Changing diagnostics,Changing sequencing,50%,10%,0.1,30,30.5391
Omicron BA.2,Changing diagnostics,Changing sequencing,50%,50%,0.5,21,21.7969
Omicron BA.2,Changing diagnostics,Changing sequencing,50%,100%,1,18,18.668
Omicron BA.2,Changing diagnostics,Changing sequencing,50%,150%,1.5,17,16.8008
Omicron BA.2,Changing diagnostics,Changing sequencing,50%,200%,2,15,15.5762
Omicron BA.2,Changing diagnostics,Changing sequencing,100%,0.1%,0.001,64,71.6667
Omicron BA.2,Changing diagnostics,Changing sequencing,100%,1%,0.01,49,50.4902
Omicron BA.2,Changing diagnostics,Changing sequencing,100%,10%,0.1,30,30.5391
Omicron BA.2,Changing diagnostics,Changing sequencing,100%,50%,0.5,21,21.7969
Omicron BA.2,Changing diagnostics,Changing sequencing,100%,100%,1,18,18.668
Omicron BA.2,Changing diagnostics,Changing sequencing,100%,150%,1.5,17,16.8008
Omicron BA.2,Changing diagnostics,Changing sequencing,100%,200%,2,15,15.5762
Omicron BA.2,Changing diagnostics,Changing sequencing,150%,0.1%,0.001,64,71.6667
Omicron BA.2,Changing diagnostics,Changing sequencing,150%,1%,0.01,49,50.4902
Omicron BA.2,Changing diagnostics,Changing sequencing,150%,10%,0.1,30,30.5391
Omicron BA.2,Changing diagnostics,Changing sequencing,150%,50%,0.5,21,21.7969
Omicron BA.2,Changing diagnostics,Changing sequencing,150%,100%,1,18,18.668
Omicron BA.2,Changing diagnostics,Changing sequencing,150%,150%,1.5,17,16.8008
Omicron BA.2,Changing diagnostics,Changing sequencing,150%,200%,2,15,15.5762
Omicron BA.2,Changing diagnostics,Changing sequencing,200%,0.1%,0.001,64,71.6667
Omicron BA.2,Changing diagnostics,Changing sequencing,200%,1%,0.01,49,50.4902
Omicron BA.2,Changing diagnostics,Changing sequencing,200%,10%,0.1,30,30.5391
Omicron BA.2,Changing diagnostics,Changing sequencing,200%,50%,0.5,21,21.7969
Omicron BA.2,Changing diagnostics,Changing sequencing,200%,100%,1,18,18.668
Omicron BA.2,Changing diagnostics,Changing sequencing,200%,150%,1.5,17,16.8008
Omicron BA.2,Changing diagnostics,Changing sequencing,200%,200%,2,15,15.5762
