variant,params_1,params_2,parval_1,parval_2,parval_2_new,lag_median,lag_mean
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T3-R,T3-R^0,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T7-R,T7-R^0,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T11-R,T11-R^0,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T3-H,T3-R^50,16,18
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T7-H,T7-R^50,16,17.9453
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T11-H,T11-R^50,16,17.332
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T3-M,T3-R^90,40,40.6914
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T7-M,T7-R^90,39,38.2656
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),0.1%,T11-M,T11-R^90,26,25.2949
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T3-R,T3-R^0,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T7-R,T7-R^0,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T11-R,T11-R^0,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T3-H,T3-R^50,16,18.0039
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T7-H,T7-R^50,16,17.9492
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T11-H,T11-R^50,16,17.332
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T3-M,T3-R^90,40,40.7461
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T7-M,T7-R^90,39,38.2773
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),1%,T11-M,T11-R^90,26,25.3203
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T3-R,T3-R^0,11,11.9082
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T7-R,T7-R^0,11,11.9082
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T11-R,T11-R^0,11,11.9082
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T3-H,T3-R^50,16,17.5879
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T7-H,T7-R^50,16,17.6328
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T11-H,T11-R^50,16,17.1602
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T3-M,T3-R^90,29,31.3301
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T7-M,T7-R^90,31.5,32.0176
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),10%,T11-M,T11-R^90,24,24.2207
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T3-R,T3-R^0,11,11.5332
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T7-R,T7-R^0,11,11.5332
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T11-R,T11-R^0,11,11.5332
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T3-H,T3-R^50,16,16.3535
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T7-H,T7-R^50,16,16.4785
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T11-H,T11-R^50,16,16.2852
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T3-M,T3-R^90,26,25.4082
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T7-M,T7-R^90,26,24.3613
Omicron BA.1,Traveler weight (travel hubs),Strategies (total),30%,T11-M,T11-R^90,22,21.6094
