variant,params_1,params_2,parval_1,parval_2,parval_2_new,lag_median,lag_mean
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T3-R,T3-R^0,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T7-R,T7-R^0,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T11-R,T11-R^0,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T3-H,T3-R^50,21,22.1719
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T7-H,T7-R^50,21,22.2344
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T11-H,T11-R^50,21,22.1914
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T3-M,T3-R^90,30,29.7402
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T7-M,T7-R^90,31,30.0977
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),0.1%,T11-M,T11-R^90,31,30.1465
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T3-R,T3-R^0,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T7-R,T7-R^0,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T11-R,T11-R^0,18,18.6445
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T3-H,T3-R^50,21,22.1719
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T7-H,T7-R^50,21,22.2441
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T11-H,T11-R^50,21,22.1914
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T3-M,T3-R^90,30,29.7812
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T7-M,T7-R^90,31,30.1465
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),1%,T11-M,T11-R^90,31,30.1855
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T3-R,T3-R^0,18,18.6582
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T7-R,T7-R^0,18,18.6582
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T11-R,T11-R^0,18,18.6582
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T3-H,T3-R^50,21,22.125
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T7-H,T7-R^50,21,22.2285
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T11-H,T11-R^50,21,22.2559
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T3-M,T3-R^90,30,29.4473
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T7-M,T7-R^90,31,30.1699
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),10%,T11-M,T11-R^90,31,30.0898
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T3-R,T3-R^0,18,17.6836
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T7-R,T7-R^0,18,17.6836
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T11-R,T11-R^0,18,17.4453
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T3-H,T3-R^50,20,20.1895
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T7-H,T7-R^50,21,20.3809
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T11-H,T11-R^50,20,19.4824
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T3-M,T3-R^90,26,24.8652
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T7-M,T7-R^90,26,25.0469
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),30%,T11-M,T11-R^90,23,22.0684
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T3-R,T3-R^0,18,17.3164
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T7-R,T7-R^0,18,17.3164
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T11-R,T11-R^0,17,16.6309
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T3-H,T3-R^50,20,19.6895
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T7-H,T7-R^50,20,19.6875
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T11-H,T11-R^50,19,18.2305
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T3-M,T3-R^90,23,23.0391
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T7-M,T7-R^90,23,22.4551
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),50%,T11-M,T11-R^90,19,19.7988
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T3-R,T3-R^0,17,17.2109
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T7-R,T7-R^0,17,17.2109
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T11-R,T11-R^0,17,16.3691
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T3-H,T3-R^50,19,19.4434
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T7-H,T7-R^50,19,19.3145
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T11-H,T11-R^50,19,17.9219
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T3-M,T3-R^90,21,22.0957
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T7-M,T7-R^90,20,20.5586
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),70%,T11-M,T11-R^90,19,18.8184
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T3-R,T3-R^0,17,17.1777
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T7-R,T7-R^0,17,17.1719
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T11-R,T11-R^0,17,16.3301
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T3-H,T3-R^50,19,19.2969
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T7-H,T7-R^50,19,18.7168
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T11-H,T11-R^50,18,17.6758
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T3-M,T3-R^90,21,21.5371
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T7-M,T7-R^90,19,19.0879
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),90%,T11-M,T11-R^90,18,17.834
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T3-R,T3-R^0,17,17.1152
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T7-R,T7-R^0,17,17.1094
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T11-R,T11-R^0,17,16.2891
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T3-H,T3-R^50,19,19.2227
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T7-H,T7-R^50,19,18.4863
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T11-H,T11-R^50,18,17.4785
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T3-M,T3-R^90,21,21.2207
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T7-M,T7-R^90,18,18.5371
Omicron BA.2,Traveler weight (travel hubs),Strategies (total),100%,T11-M,T11-R^90,17,17.5039
