variant,params_1,params_2,parval_1,parval_2,parval_2_new,lag_median,lag_mean
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P3-M,P3-R^90,24,24.2305
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P7-M,P7-R^90,25,25.0547
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),70%,P11-M,P11-R^90,20,20.4941
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P3-R,P3-R^0,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P7-R,P7-R^0,18,18.6621
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P11-R,P11-R^0,17,17.1719
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P3-H,P3-R^50,21,20.7852
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P7-H,P7-R^50,21,20.8633
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P11-H,P11-R^50,19,18.5605
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P3-M,P3-R^90,24,24.1348
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P7-M,P7-R^90,25,24.2676
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),90%,P11-M,P11-R^90,19,19.5352
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P3-R,P3-R^0,18,18.668
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P7-R,P7-R^0,18,18.6367
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P11-R,P11-R^0,17,17.1094
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P3-H,P3-R^50,21,20.7832
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P7-H,P7-R^50,21,20.7578
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P11-H,P11-R^50,19,18.4062
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P3-M,P3-R^90,24,24.0625
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P7-M,P7-R^90,24,23.7891
Omicron BA.2,Traveler weight (travel hubs),Strategies (per capita),100%,P11-M,P11-R^90,19,19.166
