date,unitname,id_sim,variant,case_type,value,date_intro,lag,params_1,params_2,parval_1,parval_2,fig,parval_2_new,lag_median,value_median
2021-09-22,ZA,1,Omicron BA.1,Community,1.0059474924823464,2021-09-21,1,Changing diagnostics,Changing sequencing,10%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,1,Omicron BA.1,Community,1.0059474924823464,2021-09-21,1,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,1,Omicron BA.1,Community,1.0059474924823464,2021-09-21,1,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,1,Omicron BA.1,Community,1.0059474924823464,2021-09-21,1,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,1,Omicron BA.1,Community,1.0059474924823464,2021-09-21,1,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,10,Omicron BA.1,Community,1.1360700536989683,2021-09-21,1,Changing diagnostics,Changing sequencing,10%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,10,Omicron BA.1,Community,1.136070053698968,2021-09-21,1,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,10,Omicron BA.1,Community,1.136070053698968,2021-09-21,1,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,10,Omicron BA.1,Community,1.136070053698968,2021-09-21,1,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,10,Omicron BA.1,Community,1.136070053698968,2021-09-21,1,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,100,Omicron BA.1,Community,1.0184592772147139,2021-09-21,1,Changing diagnostics,Changing sequencing,10%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,100,Omicron BA.1,Community,1.0184592772147139,2021-09-21,1,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,100,Omicron BA.1,Community,1.0184592772147139,2021-09-21,1,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,100,Omicron BA.1,Community,1.0184592772147136,2021-09-21,1,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,100,Omicron BA.1,Community,1.0184592772147139,2021-09-21,1,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,101,Omicron BA.1,Community,1.0810182008765512,2021-09-21,1,Changing diagnostics,Changing sequencing,10%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,101,Omicron BA.1,Community,1.0810182008765512,2021-09-21,1,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,101,Omicron BA.1,Community,1.0810182008765512,2021-09-21,1,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,101,Omicron BA.1,Community,1.0810182008765512,2021-09-21,1,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,101,Omicron BA.1,Community,1.0810182008765512,2021-09-21,1,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,102,Omicron BA.1,Community,1.0334734188935548,2021-09-21,1,Changing diagnostics,Changing sequencing,10%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,102,Omicron BA.1,Community,1.0334734188935548,2021-09-21,1,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,102,Omicron BA.1,Community,1.0334734188935548,2021-09-21,1,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,102,Omicron BA.1,Community,1.033473418893555,2021-09-21,1,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,102,Omicron BA.1,Community,1.0334734188935548,2021-09-21,1,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,103,Omicron BA.1,Community,1.0459852036259223,2021-09-21,1,Changing diagnostics,Changing sequencing,10%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,103,Omicron BA.1,Community,1.0459852036259218,2021-09-21,1,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,103,Omicron BA.1,Community,1.0459852036259218,2021-09-21,1,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,103,Omicron BA.1,Community,1.045985203625922,2021-09-21,1,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,103,Omicron BA.1,Community,1.0459852036259218,2021-09-21,1,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,1,1.0635
2021-09-24,ZA,104,Omicron BA.1,Community,1.1125072762242616,2021-09-21,3,Changing diagnostics,Changing sequencing,10%,200%,fig_3b,2,1,1.0635
2021-09-24,ZA,104,Omicron BA.1,Community,1.112507276224262,2021-09-21,3,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,1,1.0635
2021-09-24,ZA,104,Omicron BA.1,Community,1.112507276224262,2021-09-21,3,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,1,1.0635
2021-09-24,ZA,104,Omicron BA.1,Community,1.1125072762242618,2021-09-21,3,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,1,1.0635
2021-09-24,ZA,104,Omicron BA.1,Community,1.112507276224262,2021-09-21,3,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,105,Omicron BA.1,Community,1.0384781327865018,2021-09-21,1,Changing diagnostics,Changing sequencing,10%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,105,Omicron BA.1,Community,1.0384781327865018,2021-09-21,1,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,105,Omicron BA.1,Community,1.0384781327865018,2021-09-21,1,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,1,1.0635
2021-09-22,ZA,105,Omicron BA.1,Community,1.0384781327865018,2021-09-21,1,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,1,1.0635
