variant,params_1,params_2,parval_1,parval_2,parval_2_new,lag_median,lag_mean
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P3-R,P3-R^0,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P7-R,P7-R^0,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P11-R,P11-R^0,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P3-H,P3-R^50,14,13.6484
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P7-H,P7-R^50,14,13.7129
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P11-H,P11-R^50,16,15.5215
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P3-M,P3-R^90,15.5,15.6367
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P7-M,P7-R^90,16,15.7773
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P11-M,P11-R^90,16,15.8047
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P3-R,P3-R^0,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P7-R,P7-R^0,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P11-R,P11-R^0,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P3-H,P3-R^50,14,13.6484
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P7-H,P7-R^50,14,13.7129
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P11-H,P11-R^50,16,15.5293
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P3-M,P3-R^90,15.5,15.6367
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P7-M,P7-R^90,16,15.7773
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P11-M,P11-R^90,16,15.8047
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P3-R,P3-R^0,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P7-R,P7-R^0,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P11-R,P11-R^0,11,11.9082
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P3-H,P3-R^50,14,13.6484
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P7-H,P7-R^50,14,13.7129
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P11-H,P11-R^50,16,15.4844
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P3-M,P3-R^90,15.5,15.6406
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P7-M,P7-R^90,16,15.7715
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P11-M,P11-R^90,16,15.4922
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P3-R,P3-R^0,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P7-R,P7-R^0,11,11.5684
