variant,params_1,params_2,parval_1,parval_2,parval_2_new,lag_median,lag_mean
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P11-R,P11-R^0,11,11.5332
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P3-H,P3-R^50,14,13.5996
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P7-H,P7-R^50,14,13.123
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P11-H,P11-R^50,14,13.3652
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P3-M,P3-R^90,15,15.4805
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P7-M,P7-R^90,15,14.6973
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P11-M,P11-R^90,15,14.5566
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P3-R,P3-R^0,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P7-R,P7-R^0,10,11.2832
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P11-R,P11-R^0,10,11.2598
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P3-H,P3-R^50,14,13.541
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P7-H,P7-R^50,12,12.5098
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P11-H,P11-R^50,12,12.5176
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P3-M,P3-R^90,15,15.4746
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P7-M,P7-R^90,12,13.6875
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P11-M,P11-R^90,11,13.3438
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P3-R,P3-R^0,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P7-R,P7-R^0,10,11.1953
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P11-R,P11-R^0,10,11.1719
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P3-H,P3-R^50,14,13.5195
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P7-H,P7-R^50,12,12.2969
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P11-H,P11-R^50,11,12.0801
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P3-M,P3-R^90,15,15.457
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P7-M,P7-R^90,12,13.1914
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P11-M,P11-R^90,11,12.7422
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P3-R,P3-R^0,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P7-R,P7-R^0,10,11.166
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P11-R,P11-R^0,10,11.127
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P3-H,P3-R^50,14,13.5195
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P7-H,P7-R^50,12,12.1953
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P11-H,P11-R^50,11,11.8477
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P3-M,P3-R^90,15,15.457
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P7-M,P7-R^90,11,12.9648
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P11-M,P11-R^90,11,12.4688
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),100%,P3-R,P3-R^0,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),100%,P7-R,P7-R^0,10,11.1367
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),100%,P11-R,P11-R^0,10,11.0977
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),100%,P3-H,P3-R^50,14,13.5195
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),100%,P7-H,P7-R^50,12,12.125
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),100%,P11-H,P11-R^50,11,11.8125
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),100%,P3-M,P3-R^90,15,15.457
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),100%,P7-M,P7-R^90,11,12.7734
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),100%,P11-M,P11-R^90,11,12.2969
