date,unitname,id_sim,variant,case_type,value,date_intro,lag,params_1,params_2,parval_1,parval_2,fig,parval_2_new,lag_median,value_median
2021-09-26,ZA,1,Omicron BA.1,Community,1.0651663180986797,2021-09-21,5,Traveler weight (all regions),Changing diagnostics,0.1%,10%,fig_3c,0.1,11,1.1111
2021-09-26,ZA,1,Omicron BA.1,Community,1.06516631809868,2021-09-21,5,Traveler weight (all regions),Changing diagnostics,0.1%,50%,fig_3c,0.5,11,1.1111
2021-09-26,ZA,1,Omicron BA.1,Community,1.06516631809868,2021-09-21,5,Traveler weight (all regions),Changing diagnostics,0.1%,100%,fig_3c,1,11,1.1111
2021-09-26,ZA,1,Omicron BA.1,Community,1.0651663180986797,2021-09-21,5,Traveler weight (all regions),Changing diagnostics,0.1%,150%,fig_3c,1.5,11,1.1111
2021-09-26,ZA,1,Omicron BA.1,Community,1.06516631809868,2021-09-21,5,Traveler weight (all regions),Changing diagnostics,0.1%,200%,fig_3c,2,11,1.1111
2021-09-26,ZA,1,Omicron BA.1,Community,1.055570225142836,2021-09-21,5,Traveler weight (all regions),Changing diagnostics,1%,10%,fig_3c,0.1,11,1.1174
2021-09-26,ZA,1,Omicron BA.1,Community,1.055570225142836,2021-09-21,5,Traveler weight (all regions),Changing diagnostics,1%,50%,fig_3c,0.5,11,1.1174
2021-09-26,ZA,1,Omicron BA.1,Community,1.055570225142836,2021-09-21,5,Traveler weight (all regions),Changing diagnostics,1%,100%,fig_3c,1,11,1.1174
2021-09-26,ZA,1,Omicron BA.1,Community,1.0555702251428358,2021-09-21,5,Traveler weight (all regions),Changing diagnostics,1%,150%,fig_3c,1.5,11,1.1174
2021-09-26,ZA,1,Omicron BA.1,Community,1.0555702251428358,2021-09-21,5,Traveler weight (all regions),Changing diagnostics,1%,200%,fig_3c,2,11,1.1174
2021-09-29,GB,1,Omicron BA.1,Imported,1,2021-09-21,8,Traveler weight (all regions),Changing diagnostics,90%,50%,fig_3c,0.5,11,1
2021-09-29,GB,1,Omicron BA.1,Imported,1,2021-09-21,8,Traveler weight (all regions),Changing diagnostics,90%,100%,fig_3c,1,11,1
2021-09-29,GB,1,Omicron BA.1,Imported,1,2021-09-21,8,Traveler weight (all regions),Changing diagnostics,90%,150%,fig_3c,1.5,11,1
2021-09-29,GB,1,Omicron BA.1,Imported,1,2021-09-21,8,Traveler weight (all regions),Changing diagnostics,90%,200%,fig_3c,2,11,1
2021-09-29,GB,1,Omicron BA.1,Imported,1,2021-09-21,8,Traveler weight (all regions),Changing diagnostics,100%,10%,fig_3c,0.1,11,1
2021-09-29,GB,1,Omicron BA.1,Imported,1,2021-09-21,8,Traveler weight (all regions),Changing diagnostics,100%,50%,fig_3c,0.5,11,1
2021-09-29,GB,1,Omicron BA.1,Imported,1,2021-09-21,8,Traveler weight (all regions),Changing diagnostics,100%,100%,fig_3c,1,11,1
2021-09-29,GB,1,Omicron BA.1,Imported,1,2021-09-21,8,Traveler weight (all regions),Changing diagnostics,100%,150%,fig_3c,1.5,11,1
2021-09-29,GB,1,Omicron BA.1,Imported,1,2021-09-21,8,Traveler weight (all regions),Changing diagnostics,100%,200%,fig_3c,2,11,1
2021-10-05,ZA,10,Omicron BA.1,Community,1.1218488571316791,2021-09-21,14,Traveler weight (all regions),Changing diagnostics,0.1%,10%,fig_3c,0.1,11,1.1111
2021-10-05,ZA,10,Omicron BA.1,Community,1.121848857131679,2021-09-21,14,Traveler weight (all regions),Changing diagnostics,0.1%,50%,fig_3c,0.5,11,1.1111
2021-10-05,ZA,10,Omicron BA.1,Community,1.121848857131679,2021-09-21,14,Traveler weight (all regions),Changing diagnostics,0.1%,100%,fig_3c,1,11,1.1111
2021-10-05,ZA,10,Omicron BA.1,Community,1.1218488571316794,2021-09-21,14,Traveler weight (all regions),Changing diagnostics,0.1%,150%,fig_3c,1.5,11,1.1111
2021-10-05,ZA,10,Omicron BA.1,Community,1.121848857131679,2021-09-21,14,Traveler weight (all regions),Changing diagnostics,0.1%,200%,fig_3c,2,11,1.1111
2021-10-05,ZA,10,Omicron BA.1,Community,1.111742110671033,2021-09-21,14,Traveler weight (all regions),Changing diagnostics,1%,10%,fig_3c,0.1,11,1.1174
2021-10-05,ZA,10,Omicron BA.1,Community,1.1117421106710335,2021-09-21,14,Traveler weight (all regions),Changing diagnostics,1%,50%,fig_3c,0.5,11,1.1174
2021-10-05,ZA,10,Omicron BA.1,Community,1.1117421106710335,2021-09-21,14,Traveler weight (all regions),Changing diagnostics,1%,100%,fig_3c,1,11,1.1174
2021-10-05,ZA,10,Omicron BA.1,Community,1.1117421106710335,2021-09-21,14,Traveler weight (all regions),Changing diagnostics,1%,150%,fig_3c,1.5,11,1.1174
2021-10-05,ZA,10,Omicron BA.1,Community,1.1117421106710335,2021-09-21,14,Traveler weight (all regions),Changing diagnostics,1%,200%,fig_3c,2,11,1.1174
2021-09-26,EU_others,10,Omicron BA.1,Imported,1,2021-09-21,5,Traveler weight (all regions),Changing diagnostics,90%,50%,fig_3c,0.5,11,1
2021-09-26,EU_others,10,Omicron BA.1,Imported,1,2021-09-21,5,Traveler weight (all regions),Changing diagnostics,90%,100%,fig_3c,1,11,1
2021-09-26,EU_others,10,Omicron BA.1,Imported,1,2021-09-21,5,Traveler weight (all regions),Changing diagnostics,90%,150%,fig_3c,1.5,11,1
2021-09-26,EU_others,10,Omicron BA.1,Imported,1,2021-09-21,5,Traveler weight (all regions),Changing diagnostics,90%,200%,fig_3c,2,11,1
2021-09-26,EU_others,10,Omicron BA.1,Imported,1,2021-09-21,5,Traveler weight (all regions),Changing diagnostics,100%,10%,fig_3c,0.1,11,1
2021-09-26,EU_others,10,Omicron BA.1,Imported,1,2021-09-21,5,Traveler weight (all regions),Changing diagnostics,100%,50%,fig_3c,0.5,11,1
2021-09-26,EU_others,10,Omicron BA.1,Imported,1,2021-09-21,5,Traveler weight (all regions),Changing diagnostics,100%,100%,fig_3c,1,11,1
2021-09-26,EU_others,10,Omicron BA.1,Imported,1,2021-09-21,5,Traveler weight (all regions),Changing diagnostics,100%,150%,fig_3c,1.5,11,1
